master_cpd_id	cpd_name	cpd_status	cpd_smiles
1788	CIL55	probe	CN(C)CCNC(=O)c1cc2CSc3cc(Cl)ccc3-c2s1
3588	BRD4132	probe	CC(C)N1C(=O)S\C(=C\c2ccc(Sc3nc4ccccc4[nH]3)o2)C1=O
12877	BRD6340	probe	C(Cn1c2ccccc2c2ccccc12)c1nc2ccccc2[nH]1
17712	ML006	probe	C1CN(CCO1)c1nnc(-c2ccccc2)c(n1)-c1ccccc1
18311	Bax channel blocker	probe	OC(CN1CCNCC1)Cn1c2ccc(Br)cc2c2cc(Br)ccc12
19153	BRD9876	probe	CC(C)(C)c1ccc2cc(C#N)c(cc2c1)C#N
23151	tretinoin	FDA	CC(=CC=CC(=CC(=O)O)C)C=CC1=C(C)CCCC1(C)C
23256	betulinic acid	probe	CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]12)C(O)=O
24173	phloretin	probe	Oc1ccc(CCC(=O)c2c(O)cc(O)cc2O)cc1
24197	thalidomide	FDA	O=C1N(C2CCC(=O)NC2=O)C(=O)c2ccccc12
25036	gossypol	clinical	CC(C)c1c(O)c(O)c(C=O)c2c(O)c(c(C)cc12)-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O
25334	chlorambucil	FDA	OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl
25344	fluorouracil	FDA	Fc1c[nH]c(=O)[nH]c1=O
25393	isoliquiritigenin	probe	Oc1ccc(cc1)\C=C\C(=O)c1ccc(O)cc1O
26870	cimetidine	FDA	CN\C(NCCSCc1nc[nH]c1C)=N/C#N
26874	azacitidine	FDA	Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1
26914	trifluoperazine	FDA	CN1CCN(CCCN2c3ccccc3Sc3ccc(cc23)C(F)(F)F)CC1
26956	paclitaxel	FDA	CC(=O)O[C@@H]1C2=C(C)[C@H](C[C@@](O)([C@@H](OC(=O)c3ccccc3)C3[C@@]4(CO[C@@H]4C[C@H](O)[C@@]3(C)C1=O)OC(C)=O)C2(C)C)OC(=O)[C@H](O)[C@@H](NC(=O)c1ccccc1)c1ccccc1
26972	tamoxifen	FDA	CC\C(c1ccccc1)=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1
26979	carboplatin	FDA	O=C1O[Pt]OC(=O)C11CCC1
27871	teniposide	FDA	COc1cc(cc(OC)c1O)[C@H]1[C@@H]2C(COC2=O)C(O[C@@H]2O[C@@H]3CO[C@H](OC3[C@H](O)[C@H]2O)c2cccs2)c2cc3OCOc3cc12
27872	sildenafil	FDA	CCCc1nn(C)c2C(=O)NC(=Nc12)c3cc(ccc3OCC)S(=O)(=O)N4CCN(C)CC4
27894	simvastatin	FDA	CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12
28172	parbendazole	probe	CCCCc1ccc2[nH]c(NC(=O)OC)nc2c1
28183	procarbazine	FDA	CNNCc1ccc(cc1)C(=O)NC(C)C
28452	curcumin	clinical	COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O
28784	ciclopirox	FDA	Cc1cc(C2CCCCC2)n(O)c(=O)c1
28801	epigallocatechin-3-monogallate	probe	Oc1cc(O)c2C[C@@H](OC(=O)c3cc(O)c(O)c(O)c3)[C@H](Oc2c1)c1cc(O)c(O)c(O)c1
29985	myricetin	probe	Oc1cc(O)c2c(c1)oc(-c1cc(O)c(O)c(O)c1)c(O)c2=O
30371	methotrexate	FDA	CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(cc1)C(=O)N[C@@H](CCC(O)=O)C(O)=O
30620	lovastatin	FDA	CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC(O)CC(O)CC(O)=O)C12
32372	valdecoxib	FDA	Cc1onc(c1-c1ccc(cc1)S(N)(=O)=O)-c1ccccc1
32620	cyclophosphamide	FDA	ClCCN(CCCl)P1(=O)NCCCO1
32622	dacarbazine	FDA	CN(C)\N=N\c1[nH]cnc1C(N)=O
32653	niclosamide	FDA	Oc1ccc(Cl)cc1C(=O)Nc1ccc(cc1Cl)[N+]([O-])=O
33166	prochlorperazine	FDA	CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc23)CC1
35319	ifosfamide	FDA	ClCCNP1(=O)OCCCN1CCCl
36599	doxorubicin	FDA	COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO
37190	ouabain	probe	C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@H](CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)C2=CC(=O)OC2)[C@H](O)[C@H](O)[C@H]1O
37479	BRD9647	probe	COc1ccc(cc1)N(C(=O)c1ccccc1)S(=O)(=O)c1cc(OC)ccc1OC
39782	piperlongumine	probe	COc1cc(cc(OC)c1OC)\C=C\C(=O)N1CCC=CC1=O
42319	BRD-K26531177	probe	COc1cc(CCC(=O)N2CCC=CC2=O)cc(OC)c1OC
44503	NSC23766	probe	CCN(CC)CCCC(C)Nc1nc(C)cc(Nc2ccc3nc(C)cc(N)c3c2)n1
44511	pyrazolanthrone	probe	O=C1c2ccccc2-c2n[nH]c3cccc1c23
