,0
0,6
1,16391
2,8
3,8200
4,8198
5,11
6,14
7,18
8,16403
9,20
10,21
11,16407
12,23
13,24
14,8216
15,27
16,8218
17,8219
18,16412
19,32
20,16420
21,8228
22,8231
23,8233
24,8234
25,44
26,8237
27,46
28,8239
29,48
30,16432
31,51
32,8245
33,16441
34,8249
35,8253
36,8254
37,63
38,8256
39,68
40,8261
41,72
42,16458
43,16460
44,77
45,16463
46,8272
47,8274
48,16469
49,16470
50,86
51,16471
52,8281
53,8279
54,98
55,16485
56,8293
57,8295
58,104
59,16487
60,107
61,8303
62,16497
63,8305
64,8308
65,16501
66,119
67,8312
68,120
69,16505
70,8315
71,8316
72,16510
73,129
74,131
75,8324
76,16519
77,136
78,8328
79,135
80,8331
81,137
82,142
83,144
84,16529
85,8336
86,16531
87,16534
88,16541
89,157
90,16544
91,165
92,16550
93,167
94,8360
95,16553
96,16554
97,16555
98,16557
99,174
100,176
101,16561
102,16562
103,8373
104,16566
105,8375
106,16568
107,186
108,187
109,16573
110,8382
111,16576
112,8386
113,196
114,199
115,16584
116,8394
117,8395
118,8396
119,205
120,8402
121,8403
122,16595
123,8405
124,16598
125,8407
126,214
127,216
128,16601
129,219
130,213
131,16606
132,8415
133,8417
134,16610
135,16611
136,8418
137,8421
138,229
139,234
140,8429
141,8430
142,16631
143,248
144,16635
145,251
146,16638
147,16644
148,8453
149,16647
150,264
151,267
152,16652
153,16654
154,273
155,8471
156,279
157,282
158,283
159,286
160,8478
161,288
162,16673
163,8480
164,289
165,16676
166,16677
167,293
168,295
169,8484
170,16682
171,16683
172,300
173,8493
174,16686
175,16687
176,303
177,307
178,8501
179,8502
180,16695
181,311
182,316
183,318
184,16703
185,326
186,8519
187,329
188,16713
189,331
190,332
191,16717
192,333
193,8521
194,16720
195,8526
196,8533
197,16725
198,343
199,344
200,16728
201,8538
202,345
203,348
204,16735
205,351
206,8548
207,16744
208,16745
209,362
210,16746
211,16748
212,16750
213,367
214,16752
215,369
216,16754
217,8558
218,372
219,8565
220,374
221,16758
222,376
223,16760
224,16761
225,379
226,381
227,16766
228,16767
229,16768
230,16770
231,16771
232,16773
233,16774
234,16775
235,391
236,8585
237,395
238,397
239,16782
240,8591
241,16784
242,16785
243,8593
244,404
245,408
246,409
247,8603
248,8608
249,8609
250,16802
251,16803
252,416
253,421
254,422
255,8614
256,16808
257,16806
258,16810
259,426
260,16812
261,429
262,432
263,16820
264,440
265,16824
266,442
267,16827
268,16828
269,8635
270,446
271,16831
272,16832
273,447
274,450
275,453
276,455
277,16840
278,457
279,8653
280,461
281,16849
282,8659
283,16851
284,469
285,8662
286,16855
287,16854
288,471
289,474
290,477
291,16862
292,16865
293,482
294,16874
295,491
296,16875
297,8686
298,8689
299,498
300,499
301,500
302,8691
303,8694
304,16887
305,16888
306,504
307,16886
308,16890
309,8701
310,16893
311,8704
312,16896
313,16901
314,16903
315,16904
316,16906
317,8714
318,8716
319,16909
320,525
321,8719
322,16914
323,531
324,8722
325,16922
326,543
327,544
328,16928
329,16930
330,545
331,548
332,551
333,8745
334,16938
335,8749
336,558
337,8750
338,560
339,562
340,16946
341,16954
342,16957
343,8767
344,16960
345,577
346,578
347,16963
348,8771
349,8773
350,16967
351,8776
352,16970
353,8779
354,16972
355,16973
356,590
357,16975
358,16976
359,8787
360,16979
361,16982
362,8791
363,598
364,16983
365,602
366,8795
367,16988
368,16989
369,16990
370,8796
371,16991
372,609
373,608
374,611
375,614
376,8807
377,616
378,17002
379,8812
380,17008
381,17014
382,17015
383,17016
384,634
385,17018
386,640
387,17027
388,644
389,17029
390,8837
391,647
392,17032
393,17033
394,8839
395,651
396,652
397,17037
398,17038
399,660
400,8856
401,8859
402,8866
403,17060
404,677
405,8870
406,679
407,17064
408,17066
409,683
410,8874
411,685
412,689
413,8881
414,692
415,17077
416,693
417,17079
418,8888
419,17078
420,8889
421,8891
422,700
423,17085
424,702
425,17083
426,699
427,17086
428,707
429,708
430,17092
431,711
432,713
433,8906
434,17097
435,8908
436,718
437,17103
438,8911
439,722
440,8914
441,17108
442,17106
443,8920
444,8921
445,8922
446,17115
447,17114
448,734
449,735
450,736
451,8933
452,8934
453,742
454,17128
455,17133
456,750
457,17135
458,8944
459,17136
460,755
461,17142
462,17143
463,759
464,8953
465,762
466,17146
467,768
468,8961
469,8962
470,771
471,8964
472,772
473,8966
474,17159
475,8968
476,8969
477,8970
478,8971
479,17163
480,17157
481,8974
482,783
483,8975
484,785
485,780
486,786
487,17180
488,796
489,17182
490,8991
491,8990
492,17189
493,17191
494,811
495,9004
496,816
497,17200
498,17202
499,819
500,17204
501,9013
502,17201
503,9016
504,826
505,17212
506,17213
507,17214
508,9022
509,9026
510,9035
511,9036
512,17230
513,846
514,848
515,9041
516,850
517,9043
518,17237
519,17238
520,9046
521,17240
522,858
523,17244
524,9056
525,865
526,17249
527,869
528,17255
529,9064
530,872
531,17258
532,9070
533,9072
534,17264
535,881
536,9075
537,17268
538,9077
539,885
540,887
541,880
542,889
543,17274
544,9083
545,9086
546,896
547,9095
548,17289
549,906
550,909
551,9102
552,9106
553,9109
554,17302
555,17303
556,17304
557,9112
558,9114
559,923
560,9113
561,924
562,926
563,9120
564,929
565,9122
566,932
567,9126
568,938
